dataset,model,method,method_display,video_class,video_name,bbox_energy_ratio,temporal_consistency,sparsity_80
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,15,A016_P021_G003_C008.mp4,0.06591685116291046,0.9492250084877014,0.7680187225341797
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,15,A016_P021_G003_C008.mp4,0.08557453751564026,0.961269736289978,0.6270225524902344
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,15,A016_P021_G003_C008.mp4,0.046735718846321106,0.7885828018188477,0.6479591836734694
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,15,A016_P021_G003_C008.mp4,0.0012526721693575382,0.06691158562898636,0.0031397174254317113
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,15,A016_P021_G003_C008.mp4,0.23172394931316376,0.9383465051651001,0.39813804626464844
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,15,A016_P021_G003_C008.mp4,0.022820496931672096,0.9955467581748962,0.7292678833007813
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,15,A016_P021_G003_C008.mp4,0.12341524660587311,0.9957277178764343,0.55703125
EtriActivity3D,TANet,AOSA,AOSA,15,A016_P021_G003_C008.mp4,0.15142688155174255,0.9789901971817017,0.19782864317602042
EtriActivity3D,TANet,GradCAM,GradCAM,15,A016_P021_G003_C008.mp4,0.13826315104961395,0.9093121886253357,0.10436197916666666
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,16,A017_P063_G002_C002.mp4,0.06603249907493591,0.9218746423721313,0.7715648651123047
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,16,A017_P063_G002_C002.mp4,0.05960257723927498,0.9001692533493042,0.7655988693237304
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,16,A017_P063_G002_C002.mp4,0.03479977697134018,0.5593960285186768,0.7091836734693877
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,16,A017_P063_G002_C002.mp4,3.438101430219831e-07,0.16300250589847565,0.0031397174254317113
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,16,A017_P063_G002_C002.mp4,0.301310271024704,0.8555777668952942,0.003457450866699219
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,16,A017_P063_G002_C002.mp4,0.04907536506652832,0.9568475484848022,0.787251091003418
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,16,A017_P063_G002_C002.mp4,0.1568378359079361,0.9878501892089844,0.30325520833333336
EtriActivity3D,TANet,AOSA,AOSA,16,A017_P063_G002_C002.mp4,0.04700276628136635,0.9848040342330933,0.7204191246811225
EtriActivity3D,TANet,GradCAM,GradCAM,16,A017_P063_G002_C002.mp4,0.07402011007070541,0.9052619338035583,0.09602864583333333
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,16,A017_P082_G002_C003.mp4,0.15969128906726837,0.9766625761985779,0.6406692504882813
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,16,A017_P082_G002_C003.mp4,0.18649400770664215,0.9679696559906006,0.7303871154785156
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,16,A017_P082_G002_C003.mp4,0.16901187598705292,0.6080326437950134,0.6785714285714286
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,16,A017_P082_G002_C003.mp4,0.08334250748157501,-0.07998664677143097,0.7488226059654631
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,16,A017_P082_G002_C003.mp4,0.3199254274368286,0.9638134837150574,0.7001743316650391
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,16,A017_P082_G002_C003.mp4,0.044058285653591156,0.9938910007476807,0.7692996978759765
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,16,A017_P082_G002_C003.mp4,0.14854080975055695,0.9852904677391052,0.7412109375
EtriActivity3D,TANet,AOSA,AOSA,16,A017_P082_G002_C003.mp4,0.10364179313182831,0.9912315011024475,0.6639379384566326
EtriActivity3D,TANet,GradCAM,GradCAM,16,A017_P082_G002_C003.mp4,0.28251999616622925,0.8747466802597046,0.0728515625
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,17,A018_P015_G002_C002.mp4,0.16766740381717682,0.967308521270752,0.7557044982910156
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,17,A018_P015_G002_C002.mp4,0.15446332097053528,0.9285567998886108,0.7588275909423828
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,17,A018_P015_G002_C002.mp4,0.1730368733406067,0.019566010683774948,0.7142857142857143
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,17,A018_P015_G002_C002.mp4,0.1373671591281891,-0.08403410762548447,0.6813186813186813
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,17,A018_P015_G002_C002.mp4,0.16921555995941162,0.9006399512290955,0.7350074768066406
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,17,A018_P015_G002_C002.mp4,0.0994291603565216,0.9697303175926208,0.705655860900879
EtriActivity3D,TANet,SaliencyTubes,SaliencyTubes,17,A018_P015_G002_C002.mp4,0.25093626976013184,0.9583137631416321,0.36451822916666665
EtriActivity3D,TANet,AOSA,AOSA,17,A018_P015_G002_C002.mp4,0.24564038217067719,0.9476279020309448,0.3283078856542617
EtriActivity3D,TANet,GradCAM,GradCAM,17,A018_P015_G002_C002.mp4,0.19200541079044342,0.9106842279434204,0.10455729166666666
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,18,A019_P015_G002_C008.mp4,0.21068286895751953,0.9876478910446167,0.6842784881591797
EtriActivity3D,TANet,3D-LIME-NEW,3D-LIME,18,A019_P015_G002_C008.mp4,0.20888067781925201,0.9826395511627197,0.7034059524536133
EtriActivity3D,TANet,3D-RISE-NEW,3D-RISE,18,A019_P015_G002_C008.mp4,0.2150481790304184,0.1747308224439621,0.6989795918367347
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,18,A019_P015_G002_C008.mp4,0.07990060746669769,0.012203492224216461,0.08006279434850863
EtriActivity3D,TANet,LV-LOCO-NEW,LV-LOCO,18,A019_P015_G002_C008.mp4,0.26636046171188354,0.974411129951477,0.7211050033569336
EtriActivity3D,TANet,LV-Univ-Pred-NEW,LV-Univ-Pred,18,A019_P015_G002_C008.mp4,0.15630298852920532,0.987338662147522,0.7402055740356446
