Metric,Dataset,Rank,Method,Mean,Median,N,Best,Worst
insertion_auc,EtriActivity3D,5.0,SaliencyTubes,0.7250558545441158,0.7592189348408964,30,False,False
insertion_auc,EtriActivity3D,6.0,AOSA,0.6790195798065853,0.7825023046348332,30,False,False
insertion_auc,EtriActivity3D,7.0,3D-Sampled-Occl-Sens,0.6536646603828615,0.6584723888358963,30,False,False
insertion_auc,EtriActivity3D,8.0,GradCAM,0.6253375328579069,0.6443272882693469,30,False,False
insertion_auc,EtriActivity3D,9.0,LV-Univ-Pred,0.5838700735928725,0.5346883076966098,30,False,True
insertion_auc,Kinetics400,1.0,3D-RISE,0.6394432728426438,0.6479284607843344,30,True,False
insertion_auc,Kinetics400,2.0,3D-LIME,0.629100407984067,0.6426390447132195,30,False,False
insertion_auc,Kinetics400,3.0,SaliencyTubes,0.6072330357593446,0.6661859285071254,30,False,False
insertion_auc,Kinetics400,4.0,GradCAM,0.6028393268095278,0.6521842089899738,30,False,False
insertion_auc,Kinetics400,5.0,AOSA,0.5707656615778284,0.6260455620289546,30,False,False
insertion_auc,Kinetics400,6.0,3D-Kernel-SHAP,0.5383306641755394,0.570343941933465,30,False,False
insertion_auc,Kinetics400,7.0,3D-Sampled-Occl-Sens,0.5187359651683897,0.5519987517164312,30,False,False
insertion_auc,Kinetics400,8.0,LV-LOCO,0.48644240145418594,0.4682387091177908,30,False,False
insertion_auc,Kinetics400,9.0,LV-Univ-Pred,0.3859197775434657,0.3462445704098138,30,False,True
insertion_auc,Overall,1.0,3D-LIME,0.765167862452626,0.8248963150922253,60,True,False
insertion_auc,Overall,2.0,3D-RISE,0.7201110160529968,0.7893361764661848,60,False,False
insertion_auc,Overall,3.0,3D-Kernel-SHAP,0.7101782368502537,0.7616088868561488,60,False,False
insertion_auc,Overall,4.0,SaliencyTubes,0.6661444451517302,0.6819534872885298,60,False,False
insertion_auc,Overall,5.0,LV-LOCO,0.6418168603359544,0.6958964275049591,60,False,False
insertion_auc,Overall,6.0,AOSA,0.6248926206922067,0.7066991025699931,60,False,False
insertion_auc,Overall,7.0,GradCAM,0.6140884298337174,0.6443272882693469,60,False,False
insertion_auc,Overall,8.0,3D-Sampled-Occl-Sens,0.5862003127756257,0.5986371205901958,60,False,False
insertion_auc,Overall,9.0,LV-Univ-Pred,0.48489492556816904,0.39920388892384584,60,False,True
iou50,EtriActivity3D,1.0,LV-LOCO,0.23333333333333334,0.0,30,True,False
iou50,EtriActivity3D,2.0,3D-Kernel-SHAP,0.2,0.0,30,False,False
iou50,EtriActivity3D,3.0,3D-LIME,0.16666666666666666,0.0,30,False,False
iou50,EtriActivity3D,4.0,LV-Univ-Pred,0.13333333333333333,0.0,30,False,False
iou50,EtriActivity3D,6.5,3D-RISE,0.03333333333333333,0.0,30,False,False
iou50,EtriActivity3D,6.5,AOSA,0.03333333333333333,0.0,30,False,False
iou50,EtriActivity3D,6.5,GradCAM,0.03333333333333333,0.0,30,False,False
iou50,EtriActivity3D,6.5,SaliencyTubes,0.03333333333333333,0.0,30,False,False
iou50,EtriActivity3D,9.0,3D-Sampled-Occl-Sens,0.0,0.0,30,False,True
iou50,Kinetics400,1.0,LV-Univ-Pred,0.3333333333333333,0.0,30,True,False
iou50,Kinetics400,5.0,3D-Kernel-SHAP,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,3D-LIME,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,3D-RISE,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,3D-Sampled-Occl-Sens,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,AOSA,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,LV-LOCO,0.3,0.0,30,False,False
iou50,Kinetics400,5.0,SaliencyTubes,0.3,0.0,30,False,False
iou50,Kinetics400,9.0,GradCAM,0.26666666666666666,0.0,30,False,True
iou50,Overall,1.0,LV-LOCO,0.26666666666666666,0.0,60,True,False
iou50,Overall,2.0,3D-Kernel-SHAP,0.25,0.0,60,False,False
iou50,Overall,3.5,3D-LIME,0.23333333333333334,0.0,60,False,False
iou50,Overall,3.5,LV-Univ-Pred,0.23333333333333334,0.0,60,False,False
iou50,Overall,6.0,3D-RISE,0.16666666666666666,0.0,60,False,False
iou50,Overall,6.0,AOSA,0.16666666666666666,0.0,60,False,False
iou50,Overall,6.0,SaliencyTubes,0.16666666666666666,0.0,60,False,False
iou50,Overall,8.5,3D-Sampled-Occl-Sens,0.15,0.0,60,False,True
iou50,Overall,8.5,GradCAM,0.15,0.0,60,False,True
iou_value,EtriActivity3D,1.0,LV-LOCO,0.3173048842383224,0.2922285925446775,30,True,False
iou_value,EtriActivity3D,2.0,3D-LIME,0.30564251876596066,0.28478645788237145,30,False,False
iou_value,EtriActivity3D,3.0,3D-Kernel-SHAP,0.2743894571179064,0.2375583869694739,30,False,False
iou_value,EtriActivity3D,4.0,SaliencyTubes,0.2645594008545645,0.27400341107333726,30,False,False
iou_value,EtriActivity3D,5.0,LV-Univ-Pred,0.25404439934650547,0.23198113435179069,30,False,False
iou_value,EtriActivity3D,6.0,GradCAM,0.23472746070760916,0.26567557557600985,30,False,False
iou_value,EtriActivity3D,7.0,3D-RISE,0.2308576850444643,0.22786002371061184,30,False,False
iou_value,EtriActivity3D,8.0,AOSA,0.20052171129886567,0.15339672809587154,30,False,False
iou_value,EtriActivity3D,9.0,3D-Sampled-Occl-Sens,0.12358530024308217,0.1196588059334118,30,False,True
