dataset,model,method,video_class,video_name,sensitivity_n,random_correlation,reversed_correlation,n,n_subsets,seed
EtriActivity3D,TANet,3D-RISE-NEW,16,A017_P063_G002_C002.mp4,0.17762338046591034,0.0793961043263568,-0.17762338046591034,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,16,A017_P063_G002_C002.mp4,-0.05942456715651926,0.0793961043263568,0.059424567156519434,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,16,A017_P063_G002_C002.mp4,0.8559599519777484,0.12677699032372855,-0.8559599519777481,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,16,A017_P063_G002_C002.mp4,-0.10223388723492362,0.12677699032372855,0.10223388723492356,10,100,777
EtriActivity3D,TANet,SaliencyTubes,16,A017_P063_G002_C002.mp4,0.1357322072180895,0.0793961043263568,-0.1357322072180894,10,100,777
EtriActivity3D,TANet,AOSA,16,A017_P063_G002_C002.mp4,-0.0017811183990084694,0.0793961043263568,0.0017811183990084616,10,100,777
EtriActivity3D,TANet,GradCAM,16,A017_P063_G002_C002.mp4,-0.10482016063163699,0.0793961043263568,0.10482016063163706,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,16,A017_P082_G002_C003.mp4,0.3888312155822982,-0.04925387486801624,-0.3888312155822985,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,16,A017_P082_G002_C003.mp4,0.4737282053382704,-0.04925387486801624,-0.4737282053382704,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,16,A017_P082_G002_C003.mp4,0.6347035392801754,-0.047082273040092326,-0.6347035392801754,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,16,A017_P082_G002_C003.mp4,0.050436133910746556,-0.047082273040092326,-0.05043613391074649,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,16,A017_P082_G002_C003.mp4,0.8724941509367907,-0.04925387486801624,-0.8724941509367904,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,16,A017_P082_G002_C003.mp4,-0.17078357046145795,-0.04925387486801624,0.17078357046145784,10,100,777
EtriActivity3D,TANet,SaliencyTubes,16,A017_P082_G002_C003.mp4,0.4702510734125584,-0.047082273040092326,-0.47025107341255834,10,100,777
EtriActivity3D,TANet,AOSA,16,A017_P082_G002_C003.mp4,0.2393068338972211,-0.047082273040092326,-0.2393068338972211,10,100,777
EtriActivity3D,TANet,GradCAM,16,A017_P082_G002_C003.mp4,0.4643333253112555,-0.047082273040092326,-0.4643333253112555,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,17,A018_P015_G002_C002.mp4,0.010087963176597395,0.08203007357094426,-0.010087963176597365,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,17,A018_P015_G002_C002.mp4,0.4058543296712913,0.08203007357094426,-0.40585432967129104,10,100,777
EtriActivity3D,TANet,3D-RISE-NEW,17,A018_P015_G002_C002.mp4,0.24671916906433755,0.08195103554785697,-0.24671916906433755,10,100,777
EtriActivity3D,TANet,3D-Sampled-Occl-Sens-NEW,17,A018_P015_G002_C002.mp4,0.23750152239267708,0.08195103554785697,-0.2375015223926771,10,100,777
EtriActivity3D,TANet,LV-LOCO-NEW,17,A018_P015_G002_C002.mp4,0.44779539630987353,0.08203007357094426,-0.44779539630987353,10,100,777
EtriActivity3D,TANet,LV-Univ-Pred-NEW,17,A018_P015_G002_C002.mp4,-0.13042871440400097,0.08203007357094426,0.13042871440400103,10,100,777
EtriActivity3D,TANet,SaliencyTubes,17,A018_P015_G002_C002.mp4,0.0668882704050385,0.08195103554785697,-0.06688827040503846,10,100,777
EtriActivity3D,TANet,AOSA,17,A018_P015_G002_C002.mp4,0.25519588680990474,0.08195103554785697,-0.2551958868099047,10,100,777
EtriActivity3D,TANet,GradCAM,17,A018_P015_G002_C002.mp4,0.2456419565206057,0.08195103554785697,-0.2456419565206059,10,100,777
EtriActivity3D,TANet,3D-Kernel-SHAP-NEW,18,A019_P015_G002_C008.mp4,0.2920239220252679,0.03926568565897434,-0.29202392202526806,10,100,777
EtriActivity3D,TANet,3D-LIME-NEW,18,A019_P015_G002_C008.mp4,0.6258168636229672,0.03926568565897434,-0.6258168636229674,10,100,777
