metric,Dataset,method,method_display,N,mean,std,median,q25,q75,IQR,direction
deletion_auc,EtriActivity3D,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.3073399393041073,0.2074536374501622,0.31645315470252,0.10411917910342815,0.45560856628526225,0.3514893871818341,lower
deletion_auc,EtriActivity3D,AOSA,AOSA,30,0.3336911655397761,0.2866249769296112,0.2515259110164248,0.09471426179896254,0.5248854132158731,0.4301711514169106,lower
deletion_auc,EtriActivity3D,GradCAM,GradCAM,30,0.25246675984435946,0.24849944519766154,0.12619400350814136,0.05696419800610868,0.47768546003264,0.4207212620265313,lower
deletion_auc,EtriActivity3D,LV-LOCO-NEW,LV-LOCO,30,0.2388225781738684,0.21154487000823063,0.15778802799249475,0.08475140840976238,0.34283972909577776,0.2580883206860154,lower
deletion_auc,EtriActivity3D,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.4097069683054266,0.253356889216932,0.4391622746546785,0.13110603149804592,0.6509137663582684,0.5198077348602225,lower
deletion_auc,EtriActivity3D,SaliencyTubes,SaliencyTubes,30,0.09597186078753851,0.1213902041556521,0.05162618212540045,0.024466116823564275,0.14525960317424025,0.12079348635067597,lower
deletion_auc,Kinetics400,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,30,0.1995610901574923,0.1307978758592523,0.15940242022754814,0.11348722945955447,0.2565127845338424,0.14302555507428794,lower
deletion_auc,Kinetics400,3D-LIME-NEW,3D-LIME,30,0.15061442880405881,0.10879035319479934,0.12288566738575404,0.0666191973291312,0.19683665388315702,0.13021745655402583,lower
deletion_auc,Kinetics400,3D-RISE-NEW,3D-RISE,30,0.20297485328268353,0.15092475619664755,0.1759991280226644,0.08255078732957545,0.2526089329010164,0.17005814557144094,lower
deletion_auc,Kinetics400,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,30,0.3024563511681752,0.2166662607432104,0.24076107373443306,0.15707464885387082,0.3827561128716148,0.225681464017744,lower
deletion_auc,Kinetics400,AOSA,AOSA,30,0.24455667446491391,0.1535165285774786,0.24314247800428895,0.11891262071921724,0.33671534064966,0.21780271993044278,lower
deletion_auc,Kinetics400,GradCAM,GradCAM,30,0.24746221893292797,0.2116394825173608,0.1658102599595323,0.0888724763269117,0.38232300739389785,0.29345053106698615,lower
deletion_auc,Kinetics400,LV-LOCO-NEW,LV-LOCO,30,0.27099387480673554,0.16892764073259073,0.22414304901507076,0.16743915700232703,0.3907918815946992,0.22335272459237215,lower
deletion_auc,Kinetics400,LV-Univ-Pred-NEW,LV-Univ-Pred,30,0.3956618486000684,0.20592507094492102,0.41409328963794334,0.2039466622670704,0.5608862110839004,0.35693954881683,lower
deletion_auc,Kinetics400,SaliencyTubes,SaliencyTubes,30,0.25796354767825785,0.2177454328645047,0.1716943757376459,0.1085695643351956,0.39590557788373026,0.28733601354853466,lower
deletion_auc,Overall,3D-Kernel-SHAP-NEW,3D-Kernel-SHAP,60,0.17218092914726082,0.13543796128693525,0.1381106350406618,0.06794944112177673,0.24408263450511497,0.17613319338333824,lower
deletion_auc,Overall,3D-LIME-NEW,3D-LIME,60,0.13531001774682086,0.11191396764149686,0.0934636177452317,0.0529512732334421,0.17672832497686963,0.12377705174342754,lower
deletion_auc,Overall,3D-RISE-NEW,3D-RISE,60,0.16697863742019498,0.15208828929627824,0.1137958826759798,0.05643050365075272,0.22185004056101013,0.1654195369102574,lower
deletion_auc,Overall,3D-Sampled-Occl-Sens-NEW,3D-Sampled-Occl-Sens,60,0.3048981452361413,0.21031916296602035,0.277725814237443,0.1422454038903202,0.43907450657366703,0.29682910268334683,lower
deletion_auc,Overall,AOSA,AOSA,60,0.28912392000234494,0.23234578333328237,0.24314247800428895,0.09564616167565365,0.4123865018128027,0.316740340137149,lower
deletion_auc,Overall,GradCAM,GradCAM,60,0.2499644893886437,0.2288560268806091,0.1357669463474018,0.07177413311501332,0.42387338873286956,0.35209925561785627,lower
deletion_auc,Overall,LV-LOCO-NEW,LV-LOCO,60,0.254908226490302,0.19048868910696348,0.20284489564253133,0.1048140969601304,0.35825808120237884,0.25344398424224845,lower
deletion_auc,Overall,LV-Univ-Pred-NEW,LV-Univ-Pred,60,0.4026844084527475,0.22900705256611942,0.41562114794566496,0.15215102545024062,0.5796912176090335,0.4275401921587929,lower
deletion_auc,Overall,SaliencyTubes,SaliencyTubes,60,0.17696770423289818,0.19292268584372563,0.1087267578174885,0.04077114405200598,0.21094447246959752,0.17017332841759153,lower
