Metric,Method,N ETRI,N Kinetics,Mann-Whitney U,p raw,Rank-biserial effect (ETRI-Kinetics),Median ETRI,Median Kinetics,p Holm,Significant
runtime_seconds,3D-Kernel-SHAP,30,30,0.0,3.019859359162157e-11,-1.0,449.4127378463745,470.0678961277008,2.7178734232459413e-10,True
runtime_seconds,3D-LIME,30,30,340.0,0.10546994652177778,-0.24444444444444446,443.0754688978195,443.4858988523483,0.21093989304355557,False
runtime_seconds,3D-RISE,30,30,362.0,0.19579075835119908,-0.1955555555555556,440.5817264318466,441.1508022546768,0.21093989304355557,False
runtime_seconds,3D-Sampled-Occl-Sens,30,30,292.0,0.01988307641391072,-0.35111111111111115,474.38277220726013,475.1879338026047,0.078190597628454,False
runtime_seconds,LV-LOCO,30,30,768.0,2.6784187792783593e-06,0.7066666666666668,98.62417578697205,87.15740549564362,2.1427350234226874e-05,True
runtime_seconds,LV-Univ-Pred,30,30,766.0,3.0938906299561786e-06,0.7022222222222223,98.48113894462585,87.38379490375519,2.165723440969325e-05,True
runtime_seconds,SaliencyTubes,30,30,286.0,0.0156381195256908,-0.36444444444444446,1.8392757177352905,2.1774399280548096,0.078190597628454,False
runtime_seconds,AOSA,30,30,260.0,0.005084221723644087,-0.4222222222222223,75.14227628707886,75.83542156219482,0.030505330341864523,True
runtime_seconds,GradCAM,30,30,286.0,0.0156381195256908,-0.36444444444444446,1.8392757177352905,2.1774399280548096,0.078190597628454,False
sensitivity_n,3D-Kernel-SHAP,30,30,581.0,0.05368525328679823,0.2911111111111111,0.36608318232195985,0.1667916767333579,0.400961914096011,False
sensitivity_n,3D-LIME,30,30,558.0,0.11198687208268976,0.24,0.41919780976629095,0.3138484228882997,0.6719212324961386,False
sensitivity_n,3D-RISE,30,30,432.0,0.795845542466455,-0.040000000000000036,0.33417706184487495,0.3744361786697441,1.0,False
sensitivity_n,3D-Sampled-Occl-Sens,30,30,389.0,0.3710770321265142,-0.13555555555555554,0.0166008691056223,0.04338629117392475,1.0,False
sensitivity_n,LV-LOCO,30,30,583.0,0.050120239262001376,0.29555555555555557,0.516963261299715,0.4102243328854626,0.400961914096011,False
sensitivity_n,LV-Univ-Pred,30,30,591.0,0.03778201789416722,0.31333333333333324,0.09874337046856466,-0.006959202502269151,0.340038161047505,False
sensitivity_n,SaliencyTubes,30,30,415.0,0.6100075520376812,-0.07777777777777772,0.175032832076114,0.28476961174012483,1.0,False
sensitivity_n,AOSA,30,30,379.0,0.2972716890893069,-0.1577777777777778,0.14556903198987106,0.2098971131350657,1.0,False
sensitivity_n,GradCAM,30,30,356.0,0.1668661704632597,-0.2088888888888889,0.1686496094611437,0.3417516043836041,0.8343308523162984,False
