Metric,Dataset,N,Method A,Method B,Wilcoxon statistic,p raw,p Holm,Mean difference (A-B),Median difference (A-B),Rank-biserial effect,Significant
sensitivity_n,EtriActivity3D,30,AOSA,GradCAM,211.0,0.6701805889606476,1.0,-0.10354286000845023,0.009274874263319285,-0.09247311827956989,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,3D-LIME,114.0,0.013663241639733315,0.24593834951519966,-0.09208555436896552,-0.09661964219637065,-0.5096774193548387,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,3D-RISE,122.0,0.022098854184150696,0.3335976302623749,-0.11922062895163169,-0.1981196267208823,-0.4752688172043011,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,3D-Sampled-Occl-Sens,117.0,0.016431212425231934,0.27933061122894287,0.1365543906473647,0.1857802542282044,0.4967741935483871,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,LV-LOCO,51.0,6.286613643169403e-05,0.001885984092950821,-0.1918117194126121,-0.15713188345053947,-0.7806451612903226,True
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,LV-Univ-Pred,34.0,6.917864084243774e-06,0.00022137165069580078,0.21453099406907541,0.16418156103372222,0.853763440860215,True
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,SaliencyTubes,216.0,0.7456546742469072,1.0,-0.007351111246215404,-0.013185713883095584,-0.07096774193548387,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,AOSA,223.0,0.8552717231214046,1.0,0.026907908665011988,-0.0433214470729252,0.04086021505376344,False
sensitivity_n,Kinetics400,30,3D-Kernel-SHAP,GradCAM,167.0,0.18396909348666668,1.0,-0.06606725784904119,-0.08728147437227679,-0.2817204301075269,False
sensitivity_n,Kinetics400,30,3D-LIME,3D-RISE,193.0,0.42795460671186447,1.0,-0.027135074582666154,-0.09710417074486491,-0.16989247311827957,False
sensitivity_n,Kinetics400,30,3D-LIME,3D-Sampled-Occl-Sens,81.0,0.0012321043759584427,0.028338400647044182,0.22863994501633025,0.23913037623806244,0.6516129032258065,True
sensitivity_n,Kinetics400,30,3D-LIME,LV-LOCO,101.0,0.00577649287879467,0.1155298575758934,-0.09972616504364658,-0.09601828988507155,-0.5655913978494623,False
sensitivity_n,Kinetics400,30,3D-LIME,LV-Univ-Pred,36.0,9.220093488693237e-06,0.00028582289814949036,0.3066165484380409,0.20443743915016982,0.8451612903225807,True
sensitivity_n,Kinetics400,30,3D-LIME,SaliencyTubes,141.0,0.06056523136794567,0.6345672179013491,0.08473444312275014,0.10279888376681867,0.3935483870967742,False
sensitivity_n,Kinetics400,30,3D-LIME,AOSA,140.0,0.05768792890012264,0.6345672179013491,0.11899346303397754,0.14539858306719766,0.3978494623655914,False
sensitivity_n,Kinetics400,30,3D-LIME,GradCAM,206.0,0.5978077705949545,1.0,0.026018296519924353,0.04060150299912745,0.11397849462365592,False
sensitivity_n,Kinetics400,30,3D-RISE,3D-Sampled-Occl-Sens,57.0,0.00012333691120147705,0.0035767704248428345,0.2557750195989964,0.3161085354472846,0.7548387096774194,True
sensitivity_n,Kinetics400,30,3D-RISE,LV-LOCO,182.0,0.308520769700408,1.0,-0.07259109046098046,-0.06345391021497815,-0.2172043010752688,False
sensitivity_n,Kinetics400,30,3D-RISE,LV-Univ-Pred,11.0,1.0244548320770264e-07,3.5855919122695923e-06,0.33375162302070716,0.36119899664494604,0.9526881720430107,True
sensitivity_n,Kinetics400,30,3D-RISE,SaliencyTubes,122.0,0.022098854184150696,0.3335976302623749,0.11186951770541627,0.04823781164519109,0.4752688172043011,False
sensitivity_n,Kinetics400,30,3D-RISE,AOSA,65.0,0.000283263623714447,0.00764811784029007,0.1461285376166437,0.13620475757687475,0.7204301075268817,True
sensitivity_n,Kinetics400,30,3D-RISE,GradCAM,182.0,0.308520769700408,1.0,0.05315337110259051,0.006926217705499255,0.2172043010752688,False
sensitivity_n,Kinetics400,30,3D-Sampled-Occl-Sens,LV-LOCO,30.0,3.7904828786849976e-06,0.00012508593499660492,-0.32836611005997685,-0.36772851940624646,-0.8709677419354839,True
sensitivity_n,Kinetics400,30,3D-Sampled-Occl-Sens,LV-Univ-Pred,140.0,0.05768792890012264,0.6345672179013491,0.0779766034217107,0.06306487096310195,0.3978494623655914,False
sensitivity_n,Kinetics400,30,3D-Sampled-Occl-Sens,SaliencyTubes,123.0,0.023410143330693245,0.3335976302623749,-0.14390550189358006,-0.23646696129130435,-0.47096774193548385,False
sensitivity_n,Kinetics400,30,3D-Sampled-Occl-Sens,AOSA,131.0,0.036434996873140335,0.437219962477684,-0.1096464819823527,-0.2209678100382142,-0.43655913978494626,False
sensitivity_n,Kinetics400,30,3D-Sampled-Occl-Sens,GradCAM,87.0,0.0020201820880174637,0.04242382384836674,-0.20262164849640588,-0.30265365819969003,-0.6258064516129033,True
sensitivity_n,Kinetics400,30,LV-LOCO,LV-Univ-Pred,3.0,9.313225746154785e-09,3.3527612686157227e-07,0.40634271348168743,0.39562237662735844,0.9870967741935484,True
sensitivity_n,Kinetics400,30,LV-LOCO,SaliencyTubes,73.0,0.0006084088236093521,0.015210220590233803,0.18446060816639673,0.185311168475572,0.6860215053763441,True
sensitivity_n,Kinetics400,30,LV-LOCO,AOSA,81.0,0.0012321043759584427,0.028338400647044182,0.2187196280776241,0.23414096983393307,0.6516129032258065,True
sensitivity_n,Kinetics400,30,LV-LOCO,GradCAM,121.0,0.02084985189139843,0.3335976302623749,0.12574446156357094,0.13499972386852657,0.47956989247311826,False
sensitivity_n,Kinetics400,30,LV-Univ-Pred,SaliencyTubes,61.0,0.00018860027194023132,0.005280807614326477,-0.2218821053152908,-0.2192215379719143,-0.7376344086021506,True
sensitivity_n,Kinetics400,30,LV-Univ-Pred,AOSA,74.0,0.0006665531545877457,0.015997275710105896,-0.18762308540406336,-0.201639513822682,-0.6817204301075269,True
sensitivity_n,Kinetics400,30,LV-Univ-Pred,GradCAM,27.0,2.348795533180237e-06,7.985904812812805e-05,-0.28059825191811666,-0.3015865760407839,-0.8838709677419355,True
sensitivity_n,Kinetics400,30,SaliencyTubes,AOSA,181.0,0.2988441474735737,1.0,0.034259019911227394,0.06147300076598551,0.221505376344086,False
sensitivity_n,Kinetics400,30,SaliencyTubes,GradCAM,71.0,0.0005054883658885956,0.013142697513103485,-0.05871614660282578,-0.047935640856182626,-0.6946236559139785,True
sensitivity_n,Kinetics400,30,AOSA,GradCAM,113.0,0.01283373311161995,0.24384092912077904,-0.09297516651405319,-0.084475534232929,-0.513978494623656,False
